crop,year,state,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,n,p,k,ph,ndvi,evi,gdd,rainfall_var
16,1997,29,2425407.45,7900.35,0.5975,25.85,1564.19,72.28,85,40,45,6.2,0.27893892757250416,0.5288164557897875,15.850000000000001,194.91272867593258
17,1997,29,2818459.55,9180.65,1.13,25.85,1564.19,72.28,85,40,45,6.2,0.3151107092741335,0.46587207422547616,15.850000000000001,194.91272867593258
19,1997,29,537234.65,1749.95,0.438888889,25.85,1564.19,72.28,85,40,45,6.2,0.33227583775841646,0.34873801195647836,15.850000000000001,194.91272867593258
20,1997,29,90221.16,293.88,0.482,25.85,1564.19,72.28,85,40,45,6.2,0.2072826485240471,0.1065125389170372,15.850000000000001,194.91272867593258
21,1997,29,61058597.58,198887.94,13.44588235,25.85,1564.19,72.28,85,40,45,6.2,0.32236888528976027,0.5365397136361518,15.850000000000001,194.91272867593258
22,1997,29,2404089.37,7830.91,1.095882353,25.85,1564.19,72.28,85,40,45,6.2,0.3433501502325519,0.12747106065317584,15.850000000000001,194.91272867593258
23,1997,29,1568972.62,5110.66,0.251538462,25.85,1564.19,72.28,85,40,45,6.2,0.27125598323871236,0.16265985556832704,15.850000000000001,194.91272867593258
24,1997,29,3375584.73,10995.39,2.658461538,25.85,1564.19,72.28,85,40,45,6.2,0.3414429755895695,0.5307148714473288,15.850000000000001,194.91272867593258
25,1997,29,4872894.34,15872.62,0.662352941,25.85,1564.19,72.28,85,40,45,6.2,0.589629608198346,0.594462642030776,15.850000000000001,194.91272867593258
26,1997,29,922102.13,3003.59,9.154166667,25.85,1564.19,72.28,85,40,45,6.2,0.38276132121413015,0.42154020921278756,15.850000000000001,194.91272867593258
27,1997,29,141803.3,461.9,0.548888889,25.85,1564.19,72.28,85,40,45,6.2,0.4295443420721304,0.6182169371173971,15.850000000000001,194.91272867593258
27,1997,29,311110.73,1013.39,0.542857143,25.85,1564.19,72.28,85,40,45,6.2,0.20703559560410478,0.7251820927857975,15.850000000000001,194.91272867593258
27,1997,29,947798.03,3087.29,0.046,25.85,1564.19,72.28,85,40,45,6.2,0.3788372682400818,0.15935176205769785,15.850000000000001,194.91272867593258
29,1997,29,4835406877.0,15750511.0,0.698888889,25.85,1564.19,72.28,85,40,45,6.2,0.47838934996094673,0.581588693202577,15.850000000000001,194.91272867593258
29,1997,29,619747.04,2018.72,0.40375,25.85,1564.19,72.28,85,40,45,6.2,0.5818174703133638,0.10698127167918592,15.850000000000001,194.91272867593258
34,1997,29,121722.43,396.49,0.585,25.85,1564.19,72.28,85,40,45,6.2,0.28035210089100077,0.21518891998606143,15.850000000000001,194.91272867593258
37,1997,29,27029707.55,88044.65,18.23722222,25.85,1564.19,72.28,85,40,45,6.2,0.8520619134667047,0.7176033988959009,15.850000000000001,194.91272867593258
38,1997,29,1199808.19,3908.17,0.986,25.85,1564.19,72.28,85,40,45,6.2,0.691247968145999,0.43210989320203386,15.850000000000001,194.91272867593258
39,1997,29,31132295.91,101408.13,0.718333333,25.85,1564.19,72.28,85,40,45,6.2,0.8710023478980993,0.6798096588348977,15.850000000000001,194.91272867593258
40,1997,29,40268425.57,131167.51,1.837222222,25.85,1564.19,72.28,85,40,45,6.2,0.4391725539041106,0.19405179008401174,15.850000000000001,194.91272867593258
40,1997,29,114853915.9,374116.99,2.843888889,25.85,1564.19,72.28,85,40,45,6.2,0.2170089038482729,0.24538479235434102,15.850000000000001,194.91272867593258
40,1997,29,406407115.8,1323801.68,1.985555556,25.85,1564.19,72.28,85,40,45,6.2,0.5503057385092851,0.4231501128345412,15.850000000000001,194.91272867593258
41,1997,29,1027836.0,3348.0,0.2975,25.85,1564.19,72.28,85,40,45,6.2,0.5943738918955115,0.647711343697746,15.850000000000001,194.91272867593258
42,1997,29,191767.55,624.65,4.598571429,25.85,1564.19,72.28,85,40,45,6.2,0.768495720226857,0.6347112219019773,15.850000000000001,194.91272867593258
43,1997,29,12173480.21,39653.03,0.649444444,25.85,1564.19,72.28,85,40,45,6.2,0.7582876839214254,0.6726959545408587,15.850000000000001,194.91272867593258
44,1997,29,480227.82,1564.26,0.626666667,25.85,1564.19,72.28,85,40,45,6.2,0.7268422440603937,0.7792962810326297,15.850000000000001,194.91272867593258
45,1997,29,147989.35,482.05,1.196666667,25.85,1564.19,72.28,85,40,45,6.2,0.46995798564205754,0.6759525259052854,15.850000000000001,194.91272867593258
46,1997,29,2455100.49,7997.07,67.83625,25.85,1564.19,72.28,85,40,45,6.2,0.6259390335551811,0.46996102190452227,15.850000000000001,194.91272867593258
47,1997,29,26457.26,86.18,0.0,25.85,1564.19,72.28,85,40,45,6.2,0.6682717873411264,0.2999160185323061,15.850000000000001,194.91272867593258
51,1997,29,1187816.77,3869.11,1.661111111,25.85,1564.19,72.28,85,40,45,6.2,0.7245020637691939,0.465454740148875,15.850000000000001,194.91272867593258
52,1997,29,6592521.07,21474.01,1.825,25.85,1564.19,72.28,85,40,45,6.2,0.6659224022178329,0.7453156998642614,15.850000000000001,194.91272867593258
52,1997,29,1588767.98,5175.14,0.628333333,25.85,1564.19,72.28,85,40,45,6.2,0.881477798992375,0.5875259151126829,15.850000000000001,194.91272867593258
53,1997,29,34962983.58,113885.94,1.886666667,25.85,1564.19,72.28,85,40,45,6.2,0.5980570001486736,0.5140744818821809,15.850000000000001,194.91272867593258
0,1998,21,6520.8,19.14,0.35,28.33,1124.51,75.47,88,55,40,7.0,0.8149040538113781,0.21813689299340183,18.33,217.68392350907496
2,1998,21,14721.2,43.21,2.17,28.33,1124.51,75.47,88,55,40,7.0,0.6243160425582308,0.13611021960815395,18.33,217.68392350907496
5,1998,21,1185.6,3.48,0.58,28.33,1124.51,75.47,88,55,40,7.0,0.3556243494844704,0.2016311413421787,18.33,217.68392350907496
10,1998,21,197.6,0.58,0.5,28.33,1124.51,75.47,88,55,40,7.0,0.4864919361325242,0.6018161966180937,18.33,217.68392350907496
11,1998,21,44756.4,131.37,0.84,28.33,1124.51,75.47,88,55,40,7.0,0.29660054429102983,0.4784597382204323,18.33,217.68392350907496
13,1998,21,790.4,2.32,2.75,28.33,1124.51,75.47,88,55,40,7.0,0.6338425414496549,0.7597346301660258,18.33,217.68392350907496
17,1998,21,103344.8,303.34,1.54,28.33,1124.51,75.47,88,55,40,7.0,0.6795424058314188,0.22163309369322992,18.33,217.68392350907496
31,1998,21,2568.8,7.54,16.5,28.33,1124.51,75.47,88,55,40,7.0,0.6899868406477767,0.2036909174668997,18.33,217.68392350907496
38,1998,21,11065.6,32.48,3.27,28.33,1124.51,75.47,88,55,40,7.0,0.5489240418705867,0.49598549542981774,18.33,217.68392350907496
40,1998,21,488566.0,1434.05,2.46,28.33,1124.51,75.47,88,55,40,7.0,0.7569883720426931,0.40947317387028115,18.33,217.68392350907496
40,1998,21,1379346.8,4048.69,2.555,28.33,1124.51,75.47,88,55,40,7.0,0.8097373094666658,0.33477717410547136,18.33,217.68392350907496
40,1998,21,564740.8,1657.64,2.55,28.33,1124.51,75.47,88,55,40,7.0,0.764247537261387,0.7692964872205784,18.33,217.68392350907496
43,1998,21,14523.6,42.63,0.806666667,28.33,1124.51,75.47,88,55,40,7.0,0.5553369513545601,0.3101053857263748,18.33,217.68392350907496
44,1998,21,395.2,1.16,0.75,28.33,1124.51,75.47,88,55,40,7.0,0.2815731709490384,0.4884612763703128,18.33,217.68392350907496
46,1998,21,267748.0,785.9,82.595,28.33,1124.51,75.47,88,55,40,7.0,0.3913624382988111,0.5318547856128143,18.33,217.68392350907496
49,1998,21,64121.2,188.21,20.0,28.33,1124.51,75.47,88,55,40,7.0,0.6889260883285832,0.21998779148067735,18.33,217.68392350907496
0,1998,2,7356351.6,21592.53,0.784347826,22.98,1701.15,73.03,60,18,38,5.8,0.28058096720772935,0.1833569593266729,12.98,286.3123451069846
1,1998,2,756511.6,2220.53,0.709130435,22.98,1701.15,73.03,60,18,38,5.8,0.43265109624452924,0.5330284506775258,12.98,286.3123451069846
3,1998,2,4138238.0,12146.65,13.78826087,22.98,1701.15,73.03,60,18,38,5.8,0.3437168872285735,0.4537471645147739,12.98,286.3123451069846
8,1998,2,170726.4,501.12,0.411428571,22.98,1701.15,73.03,60,18,38,5.8,0.6467158184026025,0.4074408800923154,12.98,286.3123451069846
9,1998,2,1992400.8,5848.14,6045.886957,22.98,1701.15,73.03,60,18,38,5.8,0.8369387469817458,0.3577302772898253,12.98,286.3123451069846
11,1998,2,163217.6,479.08,0.399130435,22.98,1701.15,73.03,60,18,38,5.8,0.6447502382230031,0.631467236020088,12.98,286.3123451069846
13,1998,2,1454731.2,4269.96,0.636956522,22.98,1701.15,73.03,60,18,38,5.8,0.8382794847344868,0.7081123593026761,12.98,286.3123451069846
16,1998,2,296597.6,870.58,0.460454545,22.98,1701.15,73.03,60,18,38,5.8,0.4994462349912252,0.13448100605775798,12.98,286.3123451069846
21,1998,2,7775757.6,22823.58,9.040869565,22.98,1701.15,73.03,60,18,38,5.8,0.23436936642966816,0.27256187341109117,12.98,286.3123451069846
23,1998,2,1009933.6,2964.38,0.480909091,22.98,1701.15,73.03,60,18,38,5.8,0.21739533293422855,0.5671692415757426,12.98,286.3123451069846
24,1998,2,1957228.0,5744.9,0.608695652,22.98,1701.15,73.03,60,18,38,5.8,0.32348647837457145,0.5912466439544541,12.98,286.3123451069846
26,1998,2,519688.0,1525.4,4.9105,22.98,1701.15,73.03,60,18,38,5.8,0.5806793098411628,0.7685076156825166,12.98,286.3123451069846
29,1998,2,864796.4,2538.37,0.520555556,22.98,1701.15,73.03,60,18,38,5.8,0.5247784992841453,0.3070649354435544,12.98,286.3123451069846
31,1998,2,798600.4,2344.07,2.340434783,22.98,1701.15,73.03,60,18,38,5.8,0.28764453701637194,0.5465966244866934,12.98,286.3123451069846
32,1998,2,11474730.8,33680.89,0.50826087,22.98,1701.15,73.03,60,18,38,5.8,0.6316173208185015,0.11951540485127118,12.98,286.3123451069846
